id,name,Architecture,Boost_Clock,Core_Speed,Memory,Memory_Speed,Memory_Bandwidth,DVI_Connection,Dedicated,Direct_X,HDMI_Connection,Integrated,L2_Cache,Manufacturer,Max_Power,Memory_Bus,Memory_Type,Power_Connector,Process,Resolution_WxH,SLI_Crossfire,price,url_name,img_of_gpu
613,GeForce GTX 680 Galaxy 2GB OC Edition,Kepler GK104-400-A2 ,1176,1110,2048,1502 MHz,192.3GB/sec,0,Yes,DX 12.0,3,No,512KB,Nvidia,195 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
614,GeForce GTX 680 Gainward 2GB Edition,Kepler GK104-400-A2 ,1058,1006,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,195 Watts,256 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
615,GeForce GTX 680 Gigabyte OC 4GB Edition,Kepler GK104-400-A2 ,1137,1071,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
616,GeForce GTX 680 EVGA SC Signature 2 Edition,Kepler GK104-400-A2 ,1163,1097,2048,1552 MHz,198.7GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,195 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
617,GeForce GTX 680 EXO 2GB Edition,Kepler GK104-400-A2 ,1176,1110,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
618,GeForce GTX 680 EVGA SC Edition,Kepler GK104-400-A2 ,1124,1058,2048,1552 MHz,198.7GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,195 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
619,GeForce GTX 680 EVGA SC Signature+ Edition,Kepler GK104-400-A2 ,1150,1084,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,195 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
620,GeForce GTX 680 EVGA SC Signature Edition,Kepler GK104-400-A2 ,1150,1084,2048,1552 MHz,198.7GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,195 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
621,GeForce GTX 680 EVGA Classified Edition,Kepler GK104-400-A2 ,1176,1111,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
622,GeForce GTX 680 EX OC 4GB Edition,Kepler GK104-400-A2 ,1176,1110,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
623,GeForce GTX 680 Asus DirectCU II 4GB Edition,Kepler GK104-400-A2 ,1058,1006,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,225 Watts,256 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
624,GeForce GTX 680,Kepler GK104-400-A2 ,1058,1006,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,195 Watts,256 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
625,GeForce GTX 670 Zotac 4GB OC Edition,Kepler GK104-325-A2 ,1006,928,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
626,GeForce GTX 680 Direct CU II TOP,Kepler GK104-400-A2 ,1201,1137,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
627,GeForce GTX 670 Zotac AMP Edition,Kepler GK104-325-A2 ,1176,1098,2048,1652 MHz,211.5GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
628,GeForce GTX 680 Asus OC 2GB Edition,Kepler GK104-400-A2 ,1137,1058,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
629,GeForce GTX 670 SLI,Kepler GK104-325-A2 (x2) ,980,915,4096,1502 MHz,384.5GB/sec,0,Yes,DX 12.0,0,No,512KB(x2),Nvidia,340 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
630,GeForce GTX 670 Palit 2GB Edition,Kepler GK104-325-A2 ,980,915,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,170 Watts,256 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
631,GeForce GTX 670 SC 2GB Edition,Kepler GK104-325-A2 ,1046,967,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
632,GeForce GTX 670 PNY 2GB Edition,Kepler GK104-325-A2 ,980,915,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,170 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
633,GeForce GTX 670 Jetstream 2GB Edition,Kepler GK104-325-A2 ,1084,1006,2048,1527 MHz,195.5GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,185 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
634,GeForce GTX 670 Gigabyte 3xWindForce 4GB Edition,Kepler GK104-325-A2 ,1058,980,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,180 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
635,GeForce GTX 670 MSI OC Edition,Kepler GK104-325-A2 ,1046,965,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,170 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
636,GeForce GTX 670 Gigabyte 3xWindForce Edition,Kepler GK104-325-A2 ,1058,980,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,180 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
637,GeForce GTX 670 Gainward Phantom Edition,Kepler GK104-325-A2 ,1084,1006,2048,1527 MHz,195.5GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
638,GeForce GTX 670 Gigabyte 2xWindForce Edition,Kepler GK104-325-A2 ,1019,941,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
639,GeForce GTX 670 Galaxy GC 2GB Edition,Kepler GK104-325-A2 ,1085,1006,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,170 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
640,GeForce GTX 670 SC+ 4GB Edition,Kepler GK104-325-A2 ,1046,967,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,170 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
641,GeForce GTX 670 Galaxy GC 4GB Edition,Kepler GK104-325-A2 ,1085,1006,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,170 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
642,GeForce GTX 670 FTW SIG2 2GB Edition,Kepler GK104-325-A2 ,1084,1006,2048,1552 MHz,198.7GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,170 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
643,GeForce GTX 670 EVGA FTW+ 4GB Edition,Kepler GK104-325-A2 ,1084,1006,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,170 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
644,GeForce GTX 670 Gainward 2GB Edition,Kepler GK104-325-A2 ,980,915,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,170 Watts,256 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
645,GeForce GTX 670 MSI Power Edition,Kepler GK104-325-A2 ,1079,1019,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
646,GeForce GTX 670 FTW 2GB LE Edition,Kepler GK104-325-A2 ,1019,941,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,170 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
647,GeForce GTX 670 DirectCU II Top Edition,Kepler GK104-325-A2 ,1137,1058,2048,1502 MHz,192.3GB/sec,1,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
648,GeForce GTX 670 EVGA 2GB Edition,Kepler GK104-325-A2 ,980,915,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,170 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
649,GeForce GTX 670 DirectCU II OC Edition,Kepler GK104-325-A2 ,1058,980,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
650,GeForce GTX 670 DirectCU II Mini Edition,Kepler GK104-325-A2 ,1006,928,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
651,GeForce GTX 670 EVGA FTW+ 4GB Edition SLI,Kepler GK104-325-A2 (x2) ,1084,1006,4096,1502 MHz,384.5GB/sec,2,Yes,DX 12.0,1,No,1024KB,Nvidia,340 Watts,512 Bit ,GDDR5,None ,28nm,4096x2160,No,,,
652,GeForce GTX 670 Asus DirectCU II 4GB Edition,Kepler GK104-325-A2 ,980,915,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,170 Watts,256 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
653,GeForce GTX 670,Kepler GK104-325-A2 ,980,915,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,170 Watts,256 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
654,GeForce GTX 660 Zotac Synergy Edition,Kepler GK106-400-A1 ,1059,993,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,140 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
655,GeForce GTX 660 Zotac Edition,Kepler GK106-400-A1 ,1059,993,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
656,GeForce GTX 660 Zotac AMP Edition,Kepler GK106-400-A1 ,1111,1046,2048,1652 MHz,158.6GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
657,GeForce GTX 660 v2,Kepler GK106-450-A1 ,1058,993,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,140 Watts,192 Bit ,GDDR5,1x 6-pin ,28nm,4096x2160,Yes,,,
658,GeForce GTX 660 Twin Frozr OC Edition SLI,Kepler GK106-400-A1 (x2) ,1098,1033,4096,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,384KB(x2),Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
659,GeForce GTX 670 DirectCU II Edition,Kepler GK104-325-A2 ,980,915,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
660,GeForce GTX 660 WindForce 2X OC Edition,Kepler GK106-400-A1 ,1098,1033,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
661,GeForce GTX 660 Twin Frozr Edition,Kepler GK106-400-A1 ,1033,980,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
662,GeForce GTX 660 Twin Frozr OC Edition,Kepler GK106-400-A1 ,1098,1033,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
663,GeForce GTX 660 Ti Zotac Edition,Kepler GK104-300-KD-A2 ,1006,928,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
664,GeForce GTX 660 Ti Zotac AMP Extreme Edition,Kepler GK104-300-KD-A2 ,1176,1098,2048,1652 MHz,158.6GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
665,GeForce GTX 660 Ti Zotac AMP Edition,Kepler GK104-300-KD-A2 ,1111,1033,2048,1652 MHz,158.6GB/sec,1,Yes,DX 12.0,2,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
666,GeForce GTX 660 Ti WindForce 2X OC Edition,Kepler GK104-300-KD-A2 ,1110,1032,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
667,GeForce GTX 660 Ti Twin Frozr 3GB Edition,Kepler GK104-300-KD-A2 ,1046,967,3072,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
668,GeForce GTX 660 Ti SC+ 3GB w/Backplate,Kepler GK104-300-KD-A2 ,1059,980,3072,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
669,GeForce GTX 660 Ti SLI,Kepler GK104-200-KD-A2 (x2) ,980,915,4096,1502 MHz,288.4GB/sec,0,Yes,DX 12.0,0,No,384KB(x2),Nvidia,300 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
670,GeForce GTX 660 Ti Power OC Edition,Kepler GK104-300-KD-A2 ,1097,1019,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
671,GeForce GTX 660 Ti Power Edition,Kepler GK104-300-KD-A2 ,980,915,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,190 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
672,GeForce GTX 660 Ti PNY Edition ,Kepler GK104-300-KD-A2 ,980,915,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
673,GeForce GTX 660 Ti Power OC Edition SLI,Kepler GK104 ,1097,1019,4096,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,256KB(x2),Nvidia,300 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
674,GeForce GTX 660 Ti MSI Gaming OC Edition,Kepler GK104-300-KD-A2 ,1098,1033,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
675,GeForce GTX 660 Ti KFA² EX OC 3GB Edition,Kepler GK104-300-KD-A2 ,1084,1006,3072,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
676,GeForce GTX 660 Ti MSI OC v1 Edition,Kepler GK104-300-KD-A2 ,1020,941,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
677,GeForce GTX 660 Ti KFA² EX OC 2GB Edition,Kepler GK104-300-KD-A2 ,1084,1006,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
678,GeForce GTX 660 Ti Inno3D Edition,Kepler GK104-300-KD-A2 ,980,915,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
679,GeForce GTX 660 Ti JetStream Edition,Kepler GK104-300-KD-A2 ,1084,1006,2048,1527 MHz,146.6GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,160 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
680,GeForce GTX 660 Ti Gigabyte WindForce 2X OC 2GB Edition SLI,Kepler GK104-300-KD-A2 (x2) ,1110,1032,4096,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,384KB(x2),Nvidia,300 Watts,192 Bit ,GDDR5,4x 6-pin ,28nm,4096x2160,Yes,,,
681,GeForce GTX 660 Ti GC 3GB Edition,Kepler GK104-300-KD-A2 ,1084,1006,3072,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
682,GeForce GTX 660 Ti Gigabyte OC 3GB Edition,Kepler GK104-300-KD-A2 ,1111,1032,3072,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
683,GeForce GTX 660 Ti Gainward Edition,Kepler GK104-300-KD-A2 ,980,915,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
684,GeForce GTX 660 Ti Gainward Phantom Edition,Kepler GK104-300-KD-A2 ,1084,1006,2048,1527 MHz,146.6GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
685,GeForce GTX 660 Ti FTW Signature 2 Edition,Kepler GK104-300-KD-A2 ,1124,1046,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
686,GeForce GTX 660 Ti GC 2GB Edition,Kepler GK104-300-KD-A2 ,1084,1006,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
687,GeForce GTX 660 Ti Direct CU II Top Edition,Kepler GK104-300-KD-A2 ,1137,1059,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
688,GeForce GTX 660 Ti Asus Dragon DirectCU II TOP 2GB Edition,Kepler GK104-300-KD-A2 ,1150,1084,2048,1525 MHz,146.4GB/sec,1,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
689,GeForce GTX 660 Ti EVGA SC Edition,Kepler GK104-300-KD-A2 ,1059,980,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
690,GeForce GTX 660 Ti Direct CU II Edition,Kepler GK104-300-KD-A2 ,980,915,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,225 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
691,GeForce GTX 660 Ti EVGA FTW Edition,Kepler GK104-300-KD-A2 ,1124,1046,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
692,GeForce GTX 660 Ti 3-way SLI,Kepler GK104-200-KD-A2 (x3) ,980,915,6144,1502 MHz,432.6GB/sec,0,Yes,DX 12.0,0,No,384KB(x3),Nvidia,450 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
693,GeForce GTX 660 Palit OC 2GB Edition,Kepler GK106-400-A1 ,1072,1006,2048,1527 MHz,146.6GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,140 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
694,GeForce GTX 660 Ti,Kepler GK104-300-KD-A2 ,980,915,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
695,GeForce GTX 660 Ti Direct CU II OC Edition,Kepler GK104-300-KD-A2 ,1058,967,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,225 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
696,GeForce GTX 660 Ti Colorful iGame ARES X 2GB Edition,Kepler GK104-300-KD-A2 ,1198,1106,2048,1702 MHz,163.4GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,150 Watts,192 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
697,GeForce GTX 660 Palit 2GB Edition,Kepler GK106-400-A1 ,1032,980,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,140 Watts,192 Bit ,GDDR5,1x 6-pin ,28nm,4096x2160,Yes,,,
698,GeForce GTX 660 MSI Gaming 2GB Edition,Kepler GK106-400-A1 ,1072,1006,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
699,GeForce GTX 660 MSI OC 2GB Edition,Kepler GK106-400-A1 ,1072,1006,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None  ,28nm,4096x2160,Yes,,,
700,GeForce GTX 660 SLI,Kepler GK106-400-A1 (x2) ,1033,980,4096,1502 MHz,288.4GB/sec,4,Yes,DX 12.0,2,No,384KB(x2),Nvidia,280 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
701,GeForce GTX 660 Golden Sample Edition,Kepler GK106-400-A1 ,1072,1006,2048,1527 MHz,146.6GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
702,GeForce GTX 660 MSI Hawk 2GB Edition,Kepler GK106-400-A1 ,1150,1085,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
703,GeForce GTX 660 Inno3D Edition,Kepler GK106-400-A1 ,1033,980,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,140 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
704,GeForce GTX 660 Gigabyte OC 3GB Edition,Kepler GK106-400-A1 ,1098,1033,3072,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,140 Watts,192 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
705,GeForce GTX 660 Gigabyte OC Edition,Kepler GK106-400-A1 ,1098,1033,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
706,GeForce GTX 660 Gigabyte OC 2GB Edition SLI,Kepler GK106-400-A1 (x2) ,1098,1033,4096,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,384KB(x2),Nvidia,260 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
707,GeForce GTX 660 EVGA Superclocked Edition,Kepler GK106-400-A1 ,1111,1046,2048,1502 MHz,144.2GB/sec,1,Yes,DX 12.0,2,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
708,GeForce GTX 660 EVGA SC Signature 2 Edition SLI,Kepler GK106-400-A1 ,1111,1046,6144,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,192KB(x2),Nvidia,280 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
709,GeForce GTX 660 Galaxy GC Edition,Kepler GK106-400-A1 ,1072,1006,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,140 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
710,GeForce GTX 660 Gainward 2GB Edition,Kepler GK106-400-A1 ,1032,980,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,140 Watts,192 Bit ,GDDR5,1x 6-pin ,28nm,4096x2160,Yes,,,
711,GeForce GTX 660 EVGA SC Signature 2 Edition,Kepler GK106-400-A1 ,1111,1046,3072,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,140 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
712,GeForce GTX 660 EVGA OC 2GB Edition,Kepler GK106-400-A1 ,1058,993,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,140 Watts,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
713,GeForce GTX 660 EVGA FTW Signature 2 3GB Edition,Kepler GK106-400-A1 ,1137,1072,3072,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,140 Watts,192 Bit ,GDDR5,1x 6-pin ,28nm,4096x2160,Yes,,,
714,GeForce GTX 660 EVGA FTW Signature 2 Edition,Kepler GK106-400-A1 ,1137,1072,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
715,GeForce GTX 660 Direct CU II Top Edition,Kepler GK106-400-A1 ,1137,1072,2048,1527 MHz,146.6GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
716,GeForce GTX 660 Direct CU II OC Edition,Kepler GK106-400-A1 ,1085,1020,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
717,GeForce GTX 660 Direct CU II Edition,Kepler GK106-400-A1 ,1032,980,2048,1502 MHz,144.2GB/sec,2,Yes,DX 12.0,1,No,384KB,Nvidia,,192 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
